epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,113.357,0.63908,0.70122,0.90665,0.99627,1,0.995,0.84848,0.63749,0.51341,0.86857,0.000438703,0.000438703,0.000438703
44,115.699,0.67696,0.69982,0.91177,0.9952,1,0.995,0.84183,0.6293,0.5236,0.86622,0.000415124,0.000415124,0.000415124
45,117.917,0.61195,0.69861,0.89588,0.99496,1,0.995,0.85185,0.61473,0.52424,0.86856,0.000391546,0.000391546,0.000391546
46,120.273,0.63325,0.69463,0.90489,0.99622,1,0.995,0.84716,0.6335,0.52649,0.87877,0.000367967,0.000367967,0.000367967
47,123.64,0.61884,0.72542,0.89725,0.99511,1,0.995,0.8474,0.64938,0.51678,0.87737,0.000344389,0.000344389,0.000344389
48,125.853,0.5814,0.6614,0.8843,0.99542,1,0.995,0.83094,0.68448,0.50869,0.87958,0.00032081,0.00032081,0.00032081
49,128.176,0.57001,0.69104,0.89122,0.99648,1,0.995,0.83154,0.68147,0.50415,0.87811,0.000297232,0.000297232,0.000297232
50,130.543,0.58177,0.69401,0.88109,0.99644,1,0.995,0.83134,0.65469,0.50804,0.87136,0.000273654,0.000273654,0.000273654
51,136.513,0.54192,0.72439,0.86212,0.99629,1,0.995,0.84084,0.64667,0.51592,0.86636,0.000250075,0.000250075,0.000250075
52,139.047,0.53348,0.68287,0.83484,0.99288,1,0.995,0.83914,0.66855,0.5539,0.86549,0.000226497,0.000226497,0.000226497
53,141.502,0.52435,0.69253,0.83545,0.99273,1,0.995,0.83593,0.6865,0.55809,0.86813,0.000202918,0.000202918,0.000202918
54,143.843,0.53021,0.68999,0.82503,0.99666,1,0.995,0.84016,0.68298,0.52983,0.86741,0.00017934,0.00017934,0.00017934
55,146.122,0.52327,0.67964,0.83516,0.997,1,0.995,0.84543,0.65512,0.49336,0.86366,0.000155761,0.000155761,0.000155761
56,149.439,0.51275,0.65543,0.82724,0.99741,1,0.995,0.84592,0.64311,0.48508,0.86052,0.000132183,0.000132183,0.000132183
57,151.784,0.49644,0.62987,0.82757,0.99711,1,0.995,0.84656,0.64209,0.48573,0.86049,0.000108604,0.000108604,0.000108604
58,153.961,0.49049,0.6389,0.82034,0.99656,1,0.995,0.84042,0.64133,0.48187,0.86054,8.50255e-05,8.50255e-05,8.50255e-05
59,156.296,0.50041,0.64116,0.8281,0.9964,1,0.995,0.84612,0.63833,0.47499,0.86004,6.1447e-05,6.1447e-05,6.1447e-05
60,158.598,0.48587,0.61193,0.81455,0.99619,1,0.995,0.84834,0.63488,0.47228,0.85937,3.78685e-05,3.78685e-05,3.78685e-05
